fecha,cod_ine,CCAA,recovered
3/10/2020,3,Asturias,1
3/11/2020,3,Asturias,1
3/12/2020,3,Asturias,1
3/13/2020,3,Asturias,1
3/14/2020,3,Asturias,1
3/15/2020,3,Asturias,1
3/16/2020,3,Asturias,3
3/17/2020,3,Asturias,3
3/18/2020,3,Asturias,4
3/19/2020,3,Asturias,4
3/20/2020,3,Asturias,12
3/21/2020,3,Asturias,16
3/22/2020,3,Asturias,20
3/23/2020,3,Asturias,21
3/24/2020,3,Asturias,30
3/25/2020,3,Asturias,35
3/26/2020,3,Asturias,40
3/27/2020,3,Asturias,52
3/28/2020,3,Asturias,65
3/29/2020,3,Asturias,76
3/30/2020,3,Asturias,78
3/31/2020,3,Asturias,90
4/1/2020,3,Asturias,109
4/2/2020,3,Asturias,135
4/3/2020,3,Asturias,154
4/4/2020,3,Asturias,190
4/5/2020,3,Asturias,216
4/6/2020,3,Asturias,222
4/7/2020,3,Asturias,244
4/8/2020,3,Asturias,294
4/9/2020,3,Asturias,340
4/10/2020,3,Asturias,372
4/11/2020,3,Asturias,414
4/12/2020,3,Asturias,430
4/13/2020,3,Asturias,434
4/14/2020,3,Asturias,458
4/15/2020,3,Asturias,487
4/16/2020,3,Asturias,522
4/17/2020,3,Asturias,545
4/18/2020,3,Asturias,575
4/19/2020,3,Asturias,596
4/20/2020,3,Asturias,599
4/21/2020,3,Asturias,616
4/22/2020,3,Asturias,642
4/23/2020,3,Asturias,665
4/24/2020,3,Asturias,688
4/25/2020,3,Asturias,716
4/26/2020,3,Asturias,749
4/27/2020,3,Asturias,759
4/28/2020,3,Asturias,780
4/29/2020,3,Asturias,809
4/30/2020,3,Asturias,835
5/1/2020,3,Asturias,860
5/2/2020,3,Asturias,890
5/3/2020,3,Asturias,908
5/4/2020,3,Asturias,917
5/5/2020,3,Asturias,936
5/6/2020,3,Asturias,953
5/7/2020,3,Asturias,971
5/8/2020,3,Asturias,983
5/9/2020,3,Asturias,1012
5/10/2020,3,Asturias,1022
5/11/2020,3,Asturias,1026
5/12/2020,3,Asturias,1031
5/13/2020,3,Asturias,1038
5/14/2020,3,Asturias,1046
5/15/2020,3,Asturias,1053
5/16/2020,3,Asturias,1055
5/17/2020,3,Asturias,1061
2/21/2020,4,Baleares,
2/22/2020,4,Baleares,
2/23/2020,4,Baleares,
2/24/2020,4,Baleares,
2/25/2020,4,Baleares,
2/26/2020,4,Baleares,
2/27/2020,4,Baleares,
2/28/2020,4,Baleares,
2/29/2020,4,Baleares,
3/1/2020,4,Baleares,
3/2/2020,4,Baleares,
3/3/2020,4,Baleares,
3/4/2020,4,Baleares,
3/5/2020,4,Baleares,
3/6/2020,4,Baleares,
3/7/2020,4,Baleares,
3/8/2020,4,Baleares,
3/9/2020,4,Baleares,1
3/10/2020,4,Baleares,1
3/11/2020,4,Baleares,1
3/12/2020,4,Baleares,1
3/13/2020,4,Baleares,1
3/14/2020,4,Baleares,1
3/15/2020,4,Baleares,1
3/16/2020,4,Baleares,1
3/17/2020,4,Baleares,1
3/18/2020,4,Baleares,4
3/19/2020,4,Baleares,6
3/20/2020,4,Baleares,10
3/21/2020,4,Baleares,11
3/22/2020,4,Baleares,17
3/23/2020,4,Baleares,18
3/24/2020,4,Baleares,19
3/25/2020,4,Baleares,28
3/26/2020,4,Baleares,39
3/27/2020,4,Baleares,67
3/28/2020,4,Baleares,80
3/29/2020,4,Baleares,82
3/30/2020,4,Baleares,100
3/31/2020,4,Baleares,111
4/1/2020,4,Baleares,170
4/2/2020,4,Baleares,239
4/3/2020,4,Baleares,375
4/4/2020,4,Baleares,422
4/5/2020,4,Baleares,461
4/6/2020,4,Baleares,531
4/7/2020,4,Baleares,537
4/8/2020,4,Baleares,616
4/9/2020,4,Baleares,696
4/10/2020,4,Baleares,737
4/11/2020,4,Baleares,757
4/12/2020,4,Baleares,848
4/13/2020,4,Baleares,862
4/14/2020,4,Baleares,871
4/15/2020,4,Baleares,881
4/16/2020,4,Baleares,918
4/17/2020,4,Baleares,938
4/18/2020,4,Baleares,958
4/19/2020,4,Baleares,993
4/20/2020,4,Baleares,1005
4/21/2020,4,Baleares,1005
4/22/2020,4,Baleares,1017
4/23/2020,4,Baleares,1047
4/24/2020,4,Baleares,1081
4/25/2020,4,Baleares,1102
4/26/2020,4,Baleares,1123
4/27/2020,4,Baleares,1136
4/28/2020,4,Baleares,1166
4/29/2020,4,Baleares,1196
4/30/2020,4,Baleares,1219
5/1/2020,4,Baleares,1245
5/2/2020,4,Baleares,1268
5/3/2020,4,Baleares,1284
5/4/2020,4,Baleares,1294
5/5/2020,4,Baleares,1307
5/6/2020,4,Baleares,1321
5/7/2020,4,Baleares,1345
5/8/2020,4,Baleares,1374
5/9/2020,4,Baleares,1395
5/10/2020,4,Baleares,1401
5/11/2020,4,Baleares,1415
5/12/2020,4,Baleares,1423
5/13/2020,4,Baleares,1465
5/14/2020,4,Baleares,1492
5/15/2020,4,Baleares,1513
5/16/2020,4,Baleares,1519
5/17/2020,4,Baleares,1523
2/21/2020,5,Canarias,
2/22/2020,5,Canarias,
2/23/2020,5,Canarias,
2/24/2020,5,Canarias,
2/25/2020,5,Canarias,
2/26/2020,5,Canarias,
2/27/2020,5,Canarias,
2/28/2020,5,Canarias,
2/29/2020,5,Canarias,
3/1/2020,5,Canarias,
3/2/2020,5,Canarias,
3/3/2020,5,Canarias,
3/4/2020,5,Canarias,
3/5/2020,5,Canarias,
3/6/2020,5,Canarias,
3/7/2020,5,Canarias,
3/8/2020,5,Canarias,
3/9/2020,5,Canarias,4
3/10/2020,5,Canarias,5
3/11/2020,5,Canarias,5
3/12/2020,5,Canarias,5
3/13/2020,5,Canarias,5
3/14/2020,5,Canarias,7
3/15/2020,5,Canarias,7
3/16/2020,5,Canarias,7
3/17/2020,5,Canarias,8
3/18/2020,5,Canarias,8
3/19/2020,5,Canarias,9
3/20/2020,5,Canarias,9
3/21/2020,5,Canarias,9
3/22/2020,5,Canarias,9
3/23/2020,5,Canarias,9
3/24/2020,5,Canarias,9
3/25/2020,5,Canarias,15
3/26/2020,5,Canarias,18
3/27/2020,5,Canarias,20
3/28/2020,5,Canarias,25
3/29/2020,5,Canarias,30
3/30/2020,5,Canarias,32
3/31/2020,5,Canarias,57
4/1/2020,5,Canarias,77
4/2/2020,5,Canarias,94
4/3/2020,5,Canarias,102
4/4/2020,5,Canarias,123
4/5/2020,5,Canarias,137
4/6/2020,5,Canarias,157
4/7/2020,5,Canarias,192
4/8/2020,5,Canarias,249
4/9/2020,5,Canarias,359
4/10/2020,5,Canarias,386
4/11/2020,5,Canarias,432
4/12/2020,5,Canarias,447
4/13/2020,5,Canarias,458
4/14/2020,5,Canarias,589
4/15/2020,5,Canarias,622
4/16/2020,5,Canarias,673
4/17/2020,5,Canarias,730
