fecha,cod_ine,CCAA,ICU
3/14/2020,3,Asturias,2
3/15/2020,3,Asturias,3
3/16/2020,3,Asturias,3
3/17/2020,3,Asturias,5
3/18/2020,3,Asturias,5
3/19/2020,3,Asturias,6
3/20/2020,3,Asturias,7
3/21/2020,3,Asturias,12
3/22/2020,3,Asturias,15
3/23/2020,3,Asturias,22
3/24/2020,3,Asturias,23
3/25/2020,3,Asturias,29
3/26/2020,3,Asturias,34
3/27/2020,3,Asturias,47
3/28/2020,3,Asturias,50
3/29/2020,3,Asturias,57
3/30/2020,3,Asturias,60
3/31/2020,3,Asturias,65
4/1/2020,3,Asturias,76
4/2/2020,3,Asturias,79
4/3/2020,3,Asturias,86
4/4/2020,3,Asturias,87
4/5/2020,3,Asturias,90
4/6/2020,3,Asturias,90
4/7/2020,3,Asturias,91
4/8/2020,3,Asturias,91
4/9/2020,3,Asturias,94
4/10/2020,3,Asturias,100
4/11/2020,3,Asturias,105
4/12/2020,3,Asturias,106
4/13/2020,3,Asturias,110
4/14/2020,3,Asturias,111
4/15/2020,3,Asturias,114
4/16/2020,3,Asturias,116
4/17/2020,3,Asturias,118
4/18/2020,3,Asturias,119
4/19/2020,3,Asturias,120
4/20/2020,3,Asturias,122
4/21/2020,3,Asturias,122
4/22/2020,3,Asturias,128
4/23/2020,3,Asturias,130
4/24/2020,3,Asturias,131
4/25/2020,3,Asturias,132
4/26/2020,3,Asturias,134
4/27/2020,3,Asturias,137
4/28/2020,3,Asturias,137
4/29/2020,3,Asturias,137
4/30/2020,3,Asturias,137
5/1/2020,3,Asturias,140
5/2/2020,3,Asturias,141
5/3/2020,3,Asturias,142
5/4/2020,3,Asturias,142
5/5/2020,3,Asturias,142
5/6/2020,3,Asturias,142
5/7/2020,3,Asturias,143
5/8/2020,3,Asturias,144
5/9/2020,3,Asturias,145
5/10/2020,3,Asturias,147
5/11/2020,3,Asturias,149
5/12/2020,3,Asturias,150
5/13/2020,3,Asturias,151
5/14/2020,3,Asturias,151
5/15/2020,3,Asturias,152
5/16/2020,3,Asturias,152
5/17/2020,3,Asturias,153
2/21/2020,4,Baleares,
2/22/2020,4,Baleares,
2/23/2020,4,Baleares,
2/24/2020,4,Baleares,
2/25/2020,4,Baleares,
2/26/2020,4,Baleares,
2/27/2020,4,Baleares,
2/28/2020,4,Baleares,
2/29/2020,4,Baleares,
3/1/2020,4,Baleares,
3/2/2020,4,Baleares,
3/3/2020,4,Baleares,
3/4/2020,4,Baleares,
3/5/2020,4,Baleares,
3/6/2020,4,Baleares,
3/7/2020,4,Baleares,
3/8/2020,4,Baleares,
3/9/2020,4,Baleares,1
3/10/2020,4,Baleares,1
3/11/2020,4,Baleares,1
3/12/2020,4,Baleares,2
3/13/2020,4,Baleares,2
3/14/2020,4,Baleares,2
3/15/2020,4,Baleares,2
3/16/2020,4,Baleares,4
3/17/2020,4,Baleares,4
3/18/2020,4,Baleares,4
3/19/2020,4,Baleares,7
3/20/2020,4,Baleares,10
3/21/2020,4,Baleares,14
3/22/2020,4,Baleares,14
3/23/2020,4,Baleares,27
3/24/2020,4,Baleares,35
3/25/2020,4,Baleares,40
3/26/2020,4,Baleares,43
3/27/2020,4,Baleares,46
3/28/2020,4,Baleares,59
3/29/2020,4,Baleares,71
3/30/2020,4,Baleares,80
3/31/2020,4,Baleares,85
4/1/2020,4,Baleares,94
4/2/2020,4,Baleares,104
4/3/2020,4,Baleares,111
4/4/2020,4,Baleares,113
4/5/2020,4,Baleares,119
4/6/2020,4,Baleares,120
4/7/2020,4,Baleares,123
4/8/2020,4,Baleares,128
4/9/2020,4,Baleares,131
4/10/2020,4,Baleares,135
4/11/2020,4,Baleares,136
4/12/2020,4,Baleares,141
4/13/2020,4,Baleares,142
4/14/2020,4,Baleares,144
4/15/2020,4,Baleares,148
4/16/2020,4,Baleares,151
4/17/2020,4,Baleares,151
4/18/2020,4,Baleares,156
4/19/2020,4,Baleares,159
4/20/2020,4,Baleares,160
4/21/2020,4,Baleares,160
4/22/2020,4,Baleares,165
4/23/2020,4,Baleares,165
4/24/2020,4,Baleares,165
4/25/2020,4,Baleares,165
4/26/2020,4,Baleares,165
4/27/2020,4,Baleares,165
4/28/2020,4,Baleares,165
4/29/2020,4,Baleares,165
4/30/2020,4,Baleares,166
5/1/2020,4,Baleares,166
5/2/2020,4,Baleares,166
5/3/2020,4,Baleares,166
5/4/2020,4,Baleares,166
5/5/2020,4,Baleares,167
5/6/2020,4,Baleares,167
5/7/2020,4,Baleares,167
5/8/2020,4,Baleares,167
5/9/2020,4,Baleares,168
5/10/2020,4,Baleares,168
5/11/2020,4,Baleares,168
5/12/2020,4,Baleares,169
5/13/2020,4,Baleares,171
5/14/2020,4,Baleares,171
5/15/2020,4,Baleares,169
5/16/2020,4,Baleares,169
5/17/2020,4,Baleares,170
2/21/2020,5,Canarias,
2/22/2020,5,Canarias,
2/23/2020,5,Canarias,
2/24/2020,5,Canarias,
2/25/2020,5,Canarias,
2/26/2020,5,Canarias,
2/27/2020,5,Canarias,
2/28/2020,5,Canarias,
2/29/2020,5,Canarias,
3/1/2020,5,Canarias,
3/2/2020,5,Canarias,
3/3/2020,5,Canarias,
3/4/2020,5,Canarias,
3/5/2020,5,Canarias,
3/6/2020,5,Canarias,
3/7/2020,5,Canarias,
3/8/2020,5,Canarias,
3/9/2020,5,Canarias,0
3/10/2020,5,Canarias,1
3/11/2020,5,Canarias,1
3/12/2020,5,Canarias,3
3/13/2020,5,Canarias,3
3/14/2020,5,Canarias,6
3/15/2020,5,Canarias,6
3/16/2020,5,Canarias,9
3/17/2020,5,Canarias,13
3/18/2020,5,Canarias,17
3/19/2020,5,Canarias,23
3/20/2020,5,Canarias,25
3/21/2020,5,Canarias,29
3/22/2020,5,Canarias,32
3/23/2020,5,Canarias,32
3/24/2020,5,Canarias,36
3/25/2020,5,Canarias,43
3/26/2020,5,Canarias,45
3/27/2020,5,Canarias,61
